sample_accession	run_accession	library_layout	organism	Platform	UMI	study_accession	Tissue	Covariate	Age	integration_group	TissueNote	Source	bam10x	Comment	biosample	Organ	sex	retina_region	strain
SRS6393470	SRR11442200	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442201	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442202	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442203	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442204	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442205	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442206	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393468	SRR11442207	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393470	SRR11442208	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442209	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442210	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442211	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442212	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442213	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442214	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442215	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442216	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442217	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393468	SRR11442218	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393470	SRR11442219	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442220	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442221	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442222	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442223	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393470	SRR11442224	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479709	20440	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479709	Eye	Male	NA	NA
SRS6393468	SRR11442225	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442226	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442227	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442228	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442229	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442230	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442231	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442232	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442233	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442234	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393469	SRR11442142	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442236	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442237	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442238	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442239	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442240	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442241	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442242	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442243	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393468	SRR11442244	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393469	SRR11442245	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442246	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442247	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442248	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442249	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442250	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442251	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442252	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442253	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393469	SRR11442254	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479711	26645	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479711	Eye	Female	NA	NA
SRS6393468	SRR11442255	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442256	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6393468	SRR11442257	PAIRED	Homo sapiens	10xv2	Yes	SRP254408	Outflow Tract	SAMN14479708	20075	NA	scRNAseq of human trabecular meshwork | healthy donor | NA	Tissue	NA	NA	SAMN14479708	Eye	Female	NA	NA
SRS6456888	SRR11518644	PAIRED	Macaca mulatta	10xv2	Yes	SRP255874	Outflow Tract	NA	3650	NA	GSM4463645: Mulatta2TMR; Macaca mulatta; RNA-Seq | Macaque trabecular meshwork, 10 y/o | Mulatta2TMR	Tissue	MM1RTM.bam	NA	SAMN14567337	Eye	NA	NA	NA
SRS6456885	SRR11518643	PAIRED	Macaca mulatta	10xv2	Yes	SRP255874	Outflow Tract	NA	3650	NA	GSM4463643: Mulatta1TML; Macaca mulatta; RNA-Seq | Macaque trabecular meshwork, 10 y/o | Mulatta1TML	Tissue	MM1LTM.bam	NA	SAMN14567338	Eye	NA	NA	NA
SRS6456860	SRR11518616	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt11	23725	NA	GSM4463253: H11TMS1 (Pt11-RT); Homo sapiens; RNA-Seq | Human trabecular meshwork, 65 y/o M | H11TMS1 (Pt11-RT)	Tissue	H11TMS1.bam	NA	SAMN14567342	Eye	Male	NA	NA
SRS6456859	SRR11518615	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt9	20440	NA	GSM4463249: H9RimS1 (Pt9-LT); Homo sapiens; RNA-Seq | Human corneoscleral segment, 56 y/o F | H9RimS1 (Pt9-LT)	Tissue	H9RimS1.bam	NA	SAMN14567343	Eye	Female	NA	NA
SRS6456858	SRR11518614	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt4	23360	NA	GSM4463244: H4TMS1 (Pt4-LT); Homo sapiens; RNA-Seq | Human trabecular meshwork, 64 y/o M | H4TMS1 (Pt4-LT)	Tissue	H4TMS1.bam	NA	SAMN14567344	Eye	Male	NA	NA
SRS6456857	SRR11518613	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt3	21900	NA	GSM4463239: H3TMS1 (Pt3-RT); Homo sapiens; RNA-Seq | Human trabecular meshwork, 60 y/o M | H3TMS1 (Pt3-RT)	Tissue	H3TMS1.bam	NA	SAMN14567345	Eye	Male	NA	NA
SRS6456856	SRR11518612	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt2	28470	NA	GSM4463234: H2TMS2 (Pt2-LT); Homo sapiens; RNA-Seq | Human trabecular meshwork, 78 y/o M, left eye | H2TMS2 (Pt2-LT)	Tissue	H2TMS2.bam	NA	SAMN14567346	Eye	Male	NA	NA
SRS6456855	SRR11518611	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt2	28470	NA	GSM4463229: H2TMS1 (Pt2-RT); Homo sapiens; RNA-Seq | Human trabecular meshwork, 78 y/o M, right eye | H2TMS1 (Pt2-RT)	Tissue	H2TMS1.bam	NA	SAMN14567347	Eye	Male	NA	NA
SRS6456854	SRR11518610	PAIRED	Homo sapiens	10xv2	Yes	SRP255871	Outflow Tract	Pt1	27010	NA	GSM4463223: H1TMS1 (Pt1); Homo sapiens; RNA-Seq | Human trabecular meshwork, 74 y/o M | H1TMS1 (Pt1)	Tissue	H1TMS1.bam	NA	SAMN14567348	Eye	Male	NA	NA
SRS6237884	SRR11213943	PAIRED	Mus musculus	10xv3	Yes	SRP251245	Outflow Tract	NA	77	NA	GSM4367932: MouseTMS2; Mus musculus; RNA-Seq | Mouse anterior segment, 10-12 wk old | MouseTMS2	Tissue	MouseTMS2.bam	NA	SAMN14257756	Eye	NA	NA	CD1
SRS6237883	SRR11213942	PAIRED	Mus musculus	10xv3	Yes	SRP251245	Outflow Tract	NA	77	NA	GSM4367931: MouseTMS1; Mus musculus; RNA-Seq | Mouse anterior segment, 10-12 wk old | MouseTMS1	Tissue	MouseTMS1.bam	NA	SAMN14257757	Eye	NA	NA	CD1
SRS5853138	SRR10729792	PAIRED	Gallus gallus	10xv2	Yes	SRP238072	Retina	NA	-14	NA	GSM4223661: wt retina; Gallus gallus; RNA-Seq | developing retinal cells | wt retina	Tissue	wt_possorted_genome_bam.bam	NA	SAMN13620233	Eye	NA	NA	NA
SRS7483330	SRR12781351	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380483	-9	NA	GSM4819636: E12 chick retina, sample 4; Gallus gallus; RNA-Seq | Retina | E12 chick retina, sample 4	Tissue	ChickenE12S4.bam	NA	SAMN16380483	Eye	NA	NA	NA
SRS7483329	SRR12781350	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380484	-9	NA	GSM4819635: E12 chick retina, sample 3; Gallus gallus; RNA-Seq | Retina | E12 chick retina, sample 3	Tissue	ChickenE12S3.bam	NA	SAMN16380484	Eye	NA	NA	NA
SRS7483331	SRR12781349	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380485	-9	NA	GSM4819634: E12 chick retina, sample 2; Gallus gallus; RNA-Seq | Retina | E12 chick retina, sample 2	Tissue	ChickenE12S2.bam	NA	SAMN16380485	Eye	NA	NA	NA
SRS7483328	SRR12781348	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380492	-9	NA	GSM4819633: E12 chick retina, sample 1; Gallus gallus; RNA-Seq | Retina | E12 chick retina, sample 1	Tissue	ChickenE12S1.bam	NA	SAMN16380492	Eye	NA	NA	NA
SRS7483327	SRR12781347	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380486	-5	NA	GSM4819632: E16 chick retina, sample 4; Gallus gallus; RNA-Seq | Retina | E16 chick retina, sample 4	Tissue	ChickenvRGC2.bam	NA	SAMN16380486	Eye	NA	NA	NA
SRS7483326	SRR12781346	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380487	-5	NA	GSM4819631: E16 chick retina, sample 3; Gallus gallus; RNA-Seq | Retina | E16 chick retina, sample 3	Tissue	ChickenvRGC1.bam	NA	SAMN16380487	Eye	NA	NA	NA
SRS7483325	SRR12781345	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380488	-5	NA	GSM4819630: E16 chick retina, sample 2; Gallus gallus; RNA-Seq | Retina | E16 chick retina, sample 2	Tissue	ChickendRGC2.bam	NA	SAMN16380488	Eye	NA	NA	NA
SRS7483324	SRR12781344	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380489	-5	NA	GSM4819629: E16 chick retina, sample 1; Gallus gallus; RNA-Seq | Retina | E16 chick retina, sample 1	Tissue	ChickendRGC1.bam	NA	SAMN16380489	Eye	NA	NA	NA
SRS7483323	SRR12781343	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380490	-3	NA	GSM4819628: E18 chick retina, sample 4; Gallus gallus; RNA-Seq | Retina | E18 chick retina, sample 4	Tissue	Chicken1D.bam	NA	SAMN16380490	Eye	NA	NA	NA
SRS7483322	SRR12781342	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380491	-3	NA	GSM4819627: E18 chick retina, sample 3; Gallus gallus; RNA-Seq | Retina | E18 chick retina, sample 3	Tissue	Chicken1C.bam	NA	SAMN16380491	Eye	NA	NA	NA
SRS7483321	SRR12781341	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380493	-3	NA	GSM4819626: E18 chick retina, sample 2; Gallus gallus; RNA-Seq | Retina | E18 chick retina, sample 2	Tissue	Chicken1B.bam	NA	SAMN16380493	Eye	NA	NA	NA
SRS7483320	SRR12781340	PAIRED	Gallus gallus	10xv2	Yes	SRP286543	Retina	SAMN16380482	-3	NA	GSM4819625: E18 chick retina, sample 1; Gallus gallus; RNA-Seq | Retina | E18 chick retina, sample 1	Tissue	Chicken1A.bam	NA	SAMN16380482	Eye	NA	NA	NA
SRS8433506	SRR13933640	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep3;	600	NA	GSM5159105: sn C57BL/6J Aged 4V rep3; Mus musculus; RNA-Seq | sn C57BL/6J Aged 4V_choroid plexus | sn C57BL/6J Aged 4V rep3	Tissue	sn_Aged_HCP_3_possorted_genome_bam.bam	NA	SAMN18256442	Brain	NA	NA	C57BL/6J
SRS8433504	SRR13933639	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep2;	600	NA	GSM5159104: sn C57BL/6J Aged 4V rep2; Mus musculus; RNA-Seq | sn C57BL/6J Aged 4V_choroid plexus | sn C57BL/6J Aged 4V rep2	Tissue	sn_Aged_HCP_2_possorted_genome_bam.bam	NA	SAMN18256443	Brain	NA	NA	C57BL/6J
SRS8433505	SRR13933638	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep1;	600	NA	GSM5159103: sn C57BL/6J Aged 4V rep1; Mus musculus; RNA-Seq | sn C57BL/6J Aged 4V_choroid plexus | sn C57BL/6J Aged 4V rep1	Tissue	sn_Aged_HCP_1_possorted_genome_bam.bam	NA	SAMN18256444	Brain	NA	NA	C57BL/6J
SRS8433503	SRR13933637	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep3;	600	NA	GSM5159102: sn C57BL/6J Aged 3V rep3; Mus musculus; RNA-Seq | sn C57BL/6J Aged 3V_choroid plexus | sn C57BL/6J Aged 3V rep3	Tissue	sn_Aged_DCP_3_possorted_genome_bam.bam	NA	SAMN18256445	Brain	NA	NA	C57BL/6J
SRS8433502	SRR13933636	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep2;	600	NA	GSM5159101: sn C57BL/6J Aged 3V rep2; Mus musculus; RNA-Seq | sn C57BL/6J Aged 3V_choroid plexus | sn C57BL/6J Aged 3V rep2	Tissue	sn_Aged_DCP_2_possorted_genome_bam.bam	NA	SAMN18256446	Brain	NA	NA	C57BL/6J
SRS8433501	SRR13933635	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep1;	600	NA	GSM5159100: sn C57BL/6J Aged 3V rep1; Mus musculus; RNA-Seq | sn C57BL/6J Aged 3V_choroid plexus | sn C57BL/6J Aged 3V rep1	Tissue	sn_Aged_DCP_1_possorted_genome_bam.bam	NA	SAMN18256447	Brain	NA	NA	C57BL/6J
SRS8433500	SRR13933634	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep3;	600	NA	GSM5159099: sn C57BL/6J Aged LV rep3; Mus musculus; RNA-Seq | sn C57BL/6J Aged LV_choroid plexus | sn C57BL/6J Aged LV rep3	Tissue	sn_Aged_TCP_3_possorted_genome_bam.bam	NA	SAMN18256454	Brain	NA	NA	C57BL/6J
SRS8433499	SRR13933633	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep2;	600	NA	GSM5159098: sn C57BL/6J Aged LV rep2; Mus musculus; RNA-Seq | sn C57BL/6J Aged LV_choroid plexus | sn C57BL/6J Aged LV rep2	Tissue	sn_Aged_TCP_2_possorted_genome_bam.bam	NA	SAMN18256448	Brain	NA	NA	C57BL/6J
SRS8433498	SRR13933632	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Aged_rep1;	600	NA	GSM5159097: sn C57BL/6J Aged LV rep1; Mus musculus; RNA-Seq | sn C57BL/6J Aged LV_choroid plexus | sn C57BL/6J Aged LV rep1	Tissue	sn_Aged_TCP_1_possorted_genome_bam.bam	NA	SAMN18256449	Brain	NA	NA	C57BL/6J
SRS8433497	SRR13933631	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Adut_rep2;	120	NA	GSM5159096: sn C57BL/6J Adut 4V rep2; Mus musculus; RNA-Seq | sn C57BL/6J Adut 4V_choroid plexus | sn C57BL/6J Adut 4V rep2	Tissue	sn_Adult_HCP_2_possorted_genome_bam.bam	NA	SAMN18256450	Brain	NA	NA	C57BL/6J
SRS8433495	SRR13933630	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Adut_rep1;	120	NA	GSM5159095: sn C57BL/6J Adut 4V rep1; Mus musculus; RNA-Seq | sn C57BL/6J Adut 4V_choroid plexus | sn C57BL/6J Adut 4V rep1	Tissue	sn_Adult_HCP_1_possorted_genome_bam.bam	NA	SAMN18256451	Brain	NA	NA	C57BL/6J
SRS8433496	SRR13933629	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Adut_rep1;	120	NA	GSM5159094: sn C57BL/6J Adut 3V rep1; Mus musculus; RNA-Seq | sn C57BL/6J Adut 3V_choroid plexus | sn C57BL/6J Adut 3V rep1	Tissue	sn_Adult_DCP_1_possorted_genome_bam.bam	NA	SAMN18256452	Brain	NA	NA	C57BL/6J
SRS8433494	SRR13933628	PAIRED	Mus musculus	10xv2	Yes	SRP310237	Brain Choroid Plexus	Adut_rep2;	120	NA	GSM5159093: sn C57BL/6J Adut LV rep2; Mus musculus; RNA-Seq | sn C57BL/6J Adut LV_choroid plexus | sn C57BL/6J Adut LV rep2	Tissue	sn_Adult_TCP_2_possorted_genome_bam.bam	NA	SAMN18256453	Brain	NA	NA	C57BL/6J
